paper_id,year,category,title,abstract,keywords,group_num,group_name,topic_id,topic_name,r1_terms,r1_term_count,annot_missing_terms,annot_important_terms,model_r2_terms,model_additional_terms,combined_important_terms
108,2021,COMPUTER SCIENCE,A Survey of the Usages of Deep Learning for Natural Language Processing,"Over the last several years, the field of natural language processing has been propelled forward by an explosion in the use of deep learning models. This article provides a brief introduction to the field and a quick overview of deep learning architectures and methods. It then sifts through the plethora of recent studies and summarizes a large assortment of relevant contributions. Analyzed research areas include several core linguistic processing issues in addition to many applications of computational linguistics. A discussion of the current state of the art is then provided along with recommendations for future research in the field.",Machine learning; Natural language processing; Decoding; Neural networks; Computer architecture; Computational linguistics; Training; Computational linguistics; deep learning; machine learning; natural language processing (NLP); neural networks; NEURAL-NETWORK MODEL; REPRESENTATIONS; NEOCOGNITRON; GENERATION; ALGORITHM,16,AI Fundamental Research,69,Natural Language Processing and Knowledge Graphs,deep learning models; deep learning architectures; computational linguistics; linguistic processing,4,,computational linguistics,,,computational linguistics
158,2020,ENGINEERING,Pre-trained models for natural language processing: A survey,"Recently, the emergence of pre-trained models (PTMs) has brought natural language processing (NLP) to a new era. In this survey, we provide a comprehensive review of PTMs for NLP. We first briefly introduce language representation learning and its research progress. Then we systematically categorize existing PTMs based on a taxonomy from four different perspectives. Next, we describe how to adapt the knowledge of PTMs to downstream tasks. Finally, we outline some potential directions of PTMs for future research. This survey is purposed to be a hands-on guide for understanding, using, and developing PTMs for various NLP tasks.",deep learning; neural network; natural language processing; pre-trained model; distributed representation; word embedding; self-supervised learning; language modelling; ANSWER; BERT,16,AI Fundamental Research,69,Natural Language Processing and Knowledge Graphs,pre-trained models; language representation learning; downstream tasks adaptation,3,,pre-trained models,,,pre-trained models
223,2019,COMPUTER SCIENCE,"Multi-co-training for document classification using various document representations: TF-IDF, LDA, and Doc2Vec","The purpose of document classification is to assign the most appropriate label to a specified document. The main challenges in document classification are insufficient label information and unstructured sparse format. A semi-supervised learning (SSL) approach could be an effective solution to the former problem, whereas the consideration of multiple document representation schemes can resolve the latter problem. Co-training is a popular SSL method that attempts to exploit various perspectives in terms of feature subsets for the same example. In this paper, we propose multi-co-training (MCT) for improving the performance of document classification. In order to increase the variety of feature sets for classification, we transform a document using three document representation methods: term frequency-inverse document frequency (TF-IDF) based on the bag-of-words scheme, topic distribution based on latent Dirichlet allocation (LDA), and neural-network based document embedding known as document to vector (Doc2Vec). The experimental results demonstrate that the proposed MCT is robust to parameter changes and outperforms benchmark methods under various conditions. (C) 2018 Elsevier Inc. All rights reserved.",Document classification; Semi-supervised learning; TF-IDF; LDA; Doc2vec; Co-training; TEXT; FREQUENCY,16,AI Fundamental Research,69,Natural Language Processing and Knowledge Graphs,multi-co-training; document classification; semi-supervised learning; co-training; term frequency-inverse document frequency; bag-of-words scheme; latent Dirichlet allocation; document to vector; neural-network based document embedding,9,,Document classification;Co-training,semi-supervised learning; bag-of-words scheme,semi-supervised learning; bag-of-words scheme,co-training; document classification; semi-supervised learning; bag-of-words scheme
841,2019,COMPUTER SCIENCE,Bidirectional LSTM with attention mechanism and convolutional layer for text classification,"Neural network models have been widely used in the field of natural language processing (NLP). Recurrent neural networks (RNNs), which have the ability to process sequences of arbitrary length, are common methods for sequence modeling tasks. Long short-term memory (LSTM) is one kind of RNNs and has achieved remarkable performance in text classification. However, due to the high dimensionality and sparsity of text data, and to the complex semantics of the natural language, text classification presents difficult challenges. In order to solve the above problems, a novel and unified architecture which contains a bidirectional LSTM (BiLSTM), attention mechanism and the convolutional layer is proposed in this paper. The proposed architecture is called attention-based bidirectional long short-term memory with convolution layer (AC-BiLSTM). In AC-BiLSTM, the convolutional layer extracts the higher-level phrase representations from the word embedding vectors and BiLSTM is used to access both the preceding and succeeding context representations. Attention mechanism is employed to give different focus to the information out-putted from the hidden layers of BiLSTM. Finally, the softmax classifier is used to classify the processed context information. AC-BiLSTM is able to capture both the local feature of phrases as well as global sentence semantics. Experimental verifications are conducted on six sentiment classification datasets and a question classification dataset, including detailed analysis for AC-BiLSTM. The results clearly show that AC-BiLSTM outperforms other state-of-the-art text classification methods in terms of the classification accuracy. (C) 2019 Elsevier B.V. All rights reserved.",Long short-term memory; Attention mechanism; Natural language processing; Text classification; SHORT-TERM-MEMORY; NEURAL-NETWORKS,16,AI Fundamental Research,69,Natural Language Processing and Knowledge Graphs,Bidirectional LSTM; attention mechanism; convolutional layer; text classification; recurrent neural networks; long short-term memory; word embedding vectors; softmax classifier; AC-BiLSTM; attention-based bidirectional long short-term memory with convolution layer,10,,Bidirectional LSTM; attention mechanism; convolutional layer,bidirectional lstm; convolutional layer; text classification; long short-term memory; softmax classifier; attention-based bidirectional long short-term memory with convolution layer,text classification; softmax classifier,bidirectional lstm; attention mechanism; convolutional layer; text classification; softmax classifier
1344,2014,ENGINEERING,A semantic matching energy function for learning with multi-relational data Application to word-sense disambiguation,"Large-scale relational learning becomes crucial for handling the huge amounts of structured data generated daily in many application domains ranging from computational biology or information retrieval, to natural language processing. In this paper, we present a new neural network architecture designed to embed multi-relational graphs into a flexible continuous vector space in which the original data is kept and enhanced. The network is trained to encode the semantics of these graphs in order to assign high probabilities to plausible components. We empirically show that it reaches competitive performance in link prediction on standard datasets from the literature as well as on data from a real-world knowledge base (WordNet). In addition, we present how our method can be applied to perform word-sense disambiguation in a context of open-text semantic parsing, where the goal is to learn to assign a structured meaning representation to almost any sentence of free text, demonstrating that it can scale up to tens of thousands of nodes and thousands of types of relation.",Neural networks; Multi-relational data; Word-sense disambiguation; REPRESENTATION,16,AI Fundamental Research,69,Natural Language Processing and Knowledge Graphs,semantic matching energy function; multi-relational data; neural network architecture; multi-relational graphs; continuous vector space; link prediction; word-sense disambiguation; open-text semantic parsing; structured meaning representation,9,,Large-scale relational learning;Word-sense disambiguation,link prediction,link prediction,word-sense disambiguation; large-scale relational learning; link prediction
1809,2017,COMPUTER SCIENCE,A review of natural language processing techniques for opinion mining systems,"As the prevalence of social media on the Internet, opinion mining has become an essential approach to analyzing so many data. Various applications appear in a wide range of industrial domains. Meanwhile, opinions have diverse expressions which bring along research challenges. Both of the practical demands and research challenges make opinion mining an active research area in recent years. In this paper, we present a review of Natural Language Processing (NLP) techniques for opinion mining. First, we introduce general NLP techniques which are required for text preprocessing. Second, we investigate the approaches of opinion mining for different levels and situations. Then we introduce comparative opinion mining and deep learning approaches for opinion mining. Opinion summarization and advanced topics are introduced later. Finally, we discuss some challenges and open problems related to opinion mining. (C) 2016 Elsevier B.V. All rights reserved.",Opinion mining; Sentiment analysis; Natural language processing; Deep learning; Machine learning; SENTIMENT ANALYSIS; CLASSIFICATION,16,AI Fundamental Research,69,Natural Language Processing and Knowledge Graphs,Natural Language Processing; opinion mining; text preprocessing; comparative opinion mining; deep learning approaches; opinion summarization,6,,opinion mining,text preprocessing,text preprocessing,opinion mining; text preprocessing
1892,2021,COMPUTER SCIENCE,Knowledge Graphs,"In this article, we provide a comprehensive introduction to knowledge graphs, which have recently garnered significant attention from both industry and academia in scenarios that require exploiting diverse, dynamic, large-scale collections of data. After some opening remarks, we motivate and contrast various graph-based data models, as well as languages used to query and validate knowledge graphs. We explain how knowledge can be represented and extracted using a combination of deductive and inductive techniques. We conclude with high-level future research directions for knowledge graphs.",Knowledge graphs; graph databases; graph query languages; shapes; ontologies; graph algorithms; embeddings; graph neural networks; rule mining,16,AI Fundamental Research,69,Natural Language Processing and Knowledge Graphs,knowledge graphs; graph-based data models; deductive techniques; inductive techniques,4,,knowledge graphs,knowledge graphs,,knowledge graphs
2058,2022,ENGINEERING,A Deep Fusion Matching Network Semantic Reasoning Model,"As the vital technology of natural language understanding, sentence representation reasoning technology mainly focuses on sentence representation methods and reasoning models. Although the performance has been improved, there are still some problems, such as incomplete sentence semantic expression, lack of depth of reasoning model, and lack of interpretability of the reasoning process. Given the reasoning model's lack of reasoning depth and interpretability, a deep fusion matching network is designed in this paper, which mainly includes a coding layer, matching layer, dependency convolution layer, information aggregation layer, and inference prediction layer. Based on a deep matching network, the matching layer is improved. Furthermore, the heuristic matching algorithm replaces the bidirectional long-short memory neural network to simplify the interactive fusion. As a result, it improves the reasoning depth and reduces the complexity of the model; the dependency convolution layer uses the tree-type convolution network to extract the sentence structure information along with the sentence dependency tree structure, which improves the interpretability of the reasoning process. Finally, the performance of the model is verified on several datasets. The results show that the reasoning effect of the model is better than that of the shallow reasoning model, and the accuracy rate on the SNLI test set reaches 89.0%. At the same time, the semantic correlation analysis results show that the dependency convolution layer is beneficial in improving the interpretability of the reasoning process.",sentence representation; semantic reasoning; attention mechanism; long-short memory network; deep fusion matching network; NEURAL-NETWORK,16,AI Fundamental Research,69,Natural Language Processing and Knowledge Graphs,deep fusion matching network; coding layer; matching layer; dependency convolution layer; information aggregation layer; inference prediction layer; heuristic matching algorithm; bidirectional long-short memory neural network; tree-type convolution network; sentence dependency tree structure,10,,deep fusion matching network;heuristic matching algorithm;;tree-type convolution network;,deep fusion matching network; coding layer; matching layer; dependency convolution layer; information aggregation layer; inference prediction layer; bidirectional long-short memory neural network; tree-type convolution network; sentence dependency tree structure,coding layer; dependency convolution layer; information aggregation layer; inference prediction layer; bidirectional long-short memory neural network; sentence dependency tree structure,heuristic matching algorithm; deep fusion matching network; tree-type convolution network; coding layer; dependency convolution layer; information aggregation layer; inference prediction layer; bidirectional long-short memory neural network; sentence dependency tree structure
2141,2017,ENGINEERING,Deep Learning-Based Document Modeling for Personality Detection from Text,,,16,AI Fundamental Research,69,Natural Language Processing and Knowledge Graphs,Deep Learning-Based Document Modeling; Personality Detection from Text,2,,Personality Detection from Text,,,personality detection from text
2187,2022,ENGINEERING,A Survey on Deep Learning for Named Entity Recognition,"Named entity recognition (NER) is the task to identify mentions of rigid designators from text belonging to predefined semantic types such as person, location, organization etc. NER always serves as the foundation for many natural language applications such as question answering, text summarization, and machine translation. Early NER systems got a huge success in achieving good performance with the cost of human engineering in designing domain-specific features and rules. In recent years, deep learning, empowered by continuous real-valued vector representations and semantic composition through nonlinear processing, has been employed in NER systems, yielding stat-of-the-art performance. In this paper, we provide a comprehensive review on existing deep learning techniques for NER. We first introduce NER resources, including tagged NER corpora and off-the-shelf NER tools. Then, we systematically categorize existing works based on a taxonomy along three axes: distributed representations for input, context encoder, and tag decoder. Next, we survey the most representative methods for recent applied techniques of deep learning in new NER problem settings and applications. Finally, we present readers with the challenges faced by NER systems and outline future directions in this area.",Natural language processing; named entity recognition; deep learning; survey; LINKING; NETWORK; SYSTEM; WEB,16,AI Fundamental Research,69,Natural Language Processing and Knowledge Graphs,named entity recognition; deep learning techniques; distributed representations; context encoder; tag decoder; nonlinear processing; continuous real-valued vector representations; semantic composition,8,,named entity recognition,,,named entity recognition
