cluster_id,topic_id,topic_name,cluster_name,term_count,terms,has_error,error_terms,notes
1,69,Natural Language Processing and Knowledge Graphs,Attention-Enhanced Neural Network Architectures for NLP,3,attention-based bidirectional long short-term memory with convolution layer; BERT-based dynamic fusion; Attention-based Bidirectional CNN-RNN Deep Model,N,,"All terms are correctly placed, and cluster coherence is good."
2,69,Natural Language Processing and Knowledge Graphs,Graph-Based Learning Models for Knowledge Representation,4,hierarchical node construction; multi-level graph learning; attention-based graph learning; Knowledge Graph Embedding,N,,"All terms are correctly placed, and cluster coherence is good."
3,69,Natural Language Processing and Knowledge Graphs,Convolutional Network Variants for Structured Data Processing,4,dependency convolution layer; tree-type convolution network; sentence dependency tree structure; multi-scale dynamic convolutional network,N,,"All terms are correctly placed, and cluster coherence is good."
4,69,Natural Language Processing and Knowledge Graphs,Ensemble and Optimization Techniques for Classification,3,multiobjective weighted voting ensemble classifier; differential evolution algorithm; multiobjective optimization-based weighted voting scheme,N,,"All terms are correctly placed, and cluster coherence is good."
5,69,Natural Language Processing and Knowledge Graphs,Transformer-Based Models for Efficient NLP,6,transformers with non-autoregressive parallel decoding; Reformer; Linformer; Performer; Longformer; TD-BERT model,N,,"All terms are correctly placed, and cluster coherence is good."
6,69,Natural Language Processing and Knowledge Graphs,Advanced Loss Functions for Set and Sequence Prediction,3,set prediction networks; set-based loss; bipartite matching loss,N,,"All terms are correctly placed, and cluster coherence is good."
7,69,Natural Language Processing and Knowledge Graphs,Deep Fusion and Matching Networks for Semantic Understanding,2,deep fusion matching network; dynamic text sequential feature interaction,N,,"All terms are correctly placed, and cluster coherence is good."
8,69,Natural Language Processing and Knowledge Graphs,Information Aggregation and Inference Layers for Enhanced Decision Making,2,information aggregation layer; inference prediction layer,N,,"All terms are correctly placed, and cluster coherence is good."
9,69,Natural Language Processing and Knowledge Graphs,Lexical Semantic Evaluation Benchmarks,1,SimLex-999,N,,"All terms are correctly placed, and cluster coherence is good."
10,73,Deep Learning and Neural Networks,Adversarial Training and Regularization Techniques in Neural Networks,5,virtual adversarial training; virtual adversarial loss; adversarial training methods; adversarially regularized graph autoencoder; adversarially regularized variational graph autoencoder,N,,"All terms are correctly placed, and cluster coherence is good."
11,73,Deep Learning and Neural Networks,Hypergraph Neural Networks for Complex Data Structures,2,hypergraph convolution; hypergraph attention,N,,"All terms are correctly placed, and cluster coherence is good."
12,73,Deep Learning and Neural Networks,Evolutionary Algorithms for Neural Network Optimization,4,neuroevolution; evolutionary algorithms; architecture search; EC-based NAS algorithms,N,,"All terms are correctly placed, and cluster coherence is good."
13,73,Deep Learning and Neural Networks,Dynamic and Adaptive Neural Network Architectures,7,dynamic neural networks; sample-wise dynamic models; spatial-wise dynamic networks; temporal-wise dynamic models; data-dependent architectures; adaptive computation; adaptive inference,N,,"All terms are correctly placed, and cluster coherence is good."
14,73,Deep Learning and Neural Networks,Stochastic and Randomized Learning Algorithms,6,Stochastic Configuration Networks; SC networks; SC algorithms; randomized learning algorithms; randomized algorithms; randomization based training,N,,"All terms are correctly placed, and cluster coherence is good."
15,73,Deep Learning and Neural Networks,Sparse Regularization Techniques in Neural Networks,4,group sparse regularization; group Lasso penalty; group-level sparsity; sparse group Lasso penalty,N,,"All terms are correctly placed, and cluster coherence is good."
16,73,Deep Learning and Neural Networks,Ensemble Learning Strategies for Neural Networks,6,dynamic ensemble learning; ensemble of neural networks; constructive strategy; constructive-pruning strategy; negative correlation learning; dynamic NN ensembles,N,,"All terms are correctly placed, and cluster coherence is good."
17,73,Deep Learning and Neural Networks,Advanced Graph Neural Network Models,8,Dynamic graph convolutional networks; vertex-based semi-supervised classification; graph-based supervised classification; Graph Convolutional Neural Networks; graph embedding; graph convolutional network; graph autoencoder; Graph Neural Networks,N,,"All terms are correctly placed, and cluster coherence is good."
18,73,Deep Learning and Neural Networks,Transformer-Based Models for Multimodal Data,4,Vision Transformer; multimodal Transformers; multimodal pretraining; specific multimodal tasks,N,,"All terms are correctly placed, and cluster coherence is good."
