paper_id,topic_id,title,student_terms,model_additional,review_action
108,69,A Survey of the Usages of Deep Learning for Natural Language Processing,computational linguistics,,
158,69,Pre-trained models for natural language processing: A survey,pre-trained models,,
223,69,Multi-co-training for document classification using various document representat,co-training; document classification,,
841,69,Bidirectional LSTM with attention mechanism and convolutional layer for text cla,convolutional layer; bidirectional lstm; attention mechanism,long short-term memory; attention-based bidirectional long short-term memory with convolution layer,
1344,69,A semantic matching energy function for learning with multi-relational data Appl,large-scale relational learning; word-sense disambiguation,,
1809,69,A review of natural language processing techniques for opinion mining systems,opinion mining,,
1892,69,Knowledge Graphs,knowledge graphs,,
2058,69,A Deep Fusion Matching Network Semantic Reasoning Model,tree-type convolution network; heuristic matching algorithm; deep fusion matching network,dependency convolution layer; information aggregation layer; inference prediction layer; sentence dependency tree structure,
2141,69,Deep Learning-Based Document Modeling for Personality Detection from Text,personality detection from text,,
2187,69,A Survey on Deep Learning for Named Entity Recognition,named entity recognition,,
2560,69,Deep Sentence Embedding Using Long Short-Term Memory Networks: Analysis and Appl,lstm-rnn model; sentence embedding,,
2726,69,Semantics derived automatically from language corpora contain human-like biases,statistical machine-learning model,,
2781,69,Recent Advances in Natural Language Processing via Large Pre-trained Language Mo,large pre-trained language models; pre-training then fine-tuning; text generation; prompting,bert,
3046,69,Attention in Natural Language Processing,attention mechanism,,
3565,69,Sentiment Analysis of Comment Texts Based on BiLSTM,weighted word vectors,,
4547,69,"Pre-train, Prompt, and Predict: A Systematic Survey of Prompting Methods in Natu",prompt-based learning; pre-trained language models; natural language processing,,
5203,69,Word embeddings quantify 100 years of gender and ethnic stereotypes,word embeddings,,
5318,69,Hierarchical graph-based text classification framework with contextual node embe,bert-based dynamic fusion; contextual node embedding; hierarchical graph-based text classification,hierarchical node construction; multi-level graph learning; dynamic text sequential feature interaction; attention-based graph learning,
5854,69,Aspect extraction for opinion mining with a deep convolutional neural network,opinion mining; aspect extraction,ensemble classifier,
6274,69,SentiBench - a benchmark comparison of state-of-the-practice sentiment analysis ,(empty),,
6600,69,Unsupervised word embeddings capture latent knowledge from materials science lit,unsupervised word embeddings,,
6699,69,A multiobjective weighted voting ensemble classifier based on differential evolu,majority voting error; multiobjective weighted voting ensemble classifier; forward search,differential evolution algorithm; multiobjective optimization-based weighted voting scheme,
6769,69,"A survey on opinion mining and sentiment analysis: Tasks, approaches and applica",(empty),,
6780,69,Survey on Aspect-Level Sentiment Analysis,aspect-level sentiment analysis,,
