id,global_crt,topic_id,local_cluster,mapping_reason,is_correct,error_type,notes
1,Surrogate Modeling,100,Surrogate and Deep Learning-Based Modeling Techniques,"Cluster includes surrogate modeling approaches designed to approximate complex systems, which is a key method in computational modeling.",Y,,Surrogate clear match
2,Attention Mechanisms,99,Deep Learning Models with Spatial-Temporal Attention Mechanisms,This cluster uses the spatial-temporal attention mechanism to enhance the feature attention capabilities of the deep learning model.,Y,,Attention clear match
3,Optimization Algorithms,85,Biomarker Threshold Optimization Techniques,"The cluster involves methodologies for determining optimal thresholds for biomarkers, which is an optimization problem.",Y,,Optimization core concept matching
4,Multi-Modal Learning,112,Multi-Modal Learning Strategies for Enhanced Feature Fusion,This cluster emphasizes strategies to integrate information from multiple modalities to enhance feature fusion.,Y,,Multi-Modal explicit match
5,Epigenetic Analysis Algorithms,27,Chromatin State and Epigenetic Analysis Tools,Focus on analyzing chromatin states and epigenetic modifications using specialized algorithms.,Y,,Epigenetic clear match
6,Self-Healing Materials,24,Advanced Conductive and Self-Healing Hydrogels,Involves hydrogels with enhanced electrical conductivity and self-healing properties through the incorporation of conductive fillers and dynamic bonds.,Y,,Self-HealingExplicit matching
7,Convolutional Neural Networks,115,Advanced Convolutional Techniques for Image Processing,This cluster covers advanced convolution techniques suitable for image processing.,Y,,CNN unambiguous matching
8,Transformer Models,17,Transformer-Based Neural Network Architectures for Code Generation,Transformer-based architectures leverage self-attention mechanisms for processing and generating code.,Y,,Transformer explicitly matches
9,Object Detection and Segmentation,109,Advanced Object Detection and Segmentation Techniques,This cluster covers advanced techniques to improve the accuracy of detection and segmentation models.,Y,,Detection/Segmentation clear match
10,Attention Mechanisms,46,Deep Learning Architectures for Water Resource Management,"The cluster mentions the use of LSTM-seq2seq models for sequence-to-sequence prediction tasks, which often utilize attention mechanisms to improve performance.",N,wrong_mapping,LSTM-seq2seq does not necessarily use Attention and should be mapped to RNN/LSTM
11,Self-Supervised Learning,121,Self-Supervised Learning Models for Medical Imaging,Self-supervised learning model for learning universal representations from unlabeled data,Y,,Self-Supervised Explicit Match
12,Facial Expression Recognition Techniques,112,Deep Learning Approaches for Facial Expression Recognition,"This cluster focuses on deep learning methods, especially facial expression recognition technology.",Y,,FER unambiguously matches
13,Multi-Task Learning,73,Multi-Task Learning Frameworks,"Cluster involves frameworks designed to address multiple tasks simultaneously, a core aspect of multi-task learning.",Y,,Multi-Task explicit match
14,Deep Reinforcement Learning,52,Reinforcement Learning-Based Optimal Control Strategies,"The cluster focuses on using reinforcement learning techniques for optimal control, which aligns with the core concepts of Deep Reinforcement Learning, including policy optimization and value function...",Y,,RL/DRL matching
15,In-Sensor Machine Learning,79,In-Sensor Machine Learning for Wearable Devices,This cluster focuses on integrating machine learning algorithms directly into sensor hardware for real-time data processing and decision-making within wearable devices.,Y,,In-Sensor ML clear match
16,Consensus Algorithms,98,Cooperative and Formation Control in Multi-Agent Systems,"Employs consensus algorithms for achieving coordinated movement among agents, relevant in distributed systems beyond transportation.",Y,,Consensus matching in multi-agent
17,Intelligent Control Systems,9,Intelligent Control Systems for Smart Manufacturing,Incorporates adaptive neural network control and nonlinear model predictive control for managing industrial processes.,Y,,Intelligent Control clear match
18,Intelligent Control Systems,1,Intelligent Control Systems for Hybrid Vehicles,"Cluster employs intelligent methodologies for managing energy flow, characteristic of Intelligent Control Systems.",Y,,Intelligent Control clear match
19,Ensemble Decomposition,4,Empirical Mode Decomposition Techniques for Signal Processing,"The cluster focuses on the Complete Ensemble Empirical Mode Decomposition with Adaptive Noise (CEEMDAN), a technique for decomposing complex signals, which aligns with the 'Ensemble Decomposition' tec...",Y,,CEEMDAN is Ensemble Decomposition
20,Convolutional Neural Networks,103,Advanced CNN Architectures for Object Detection,"This cluster involves an advanced CNN architecture for target detection, and the core technology is convolutional neural network.",Y,,CNN unambiguous matching
21,Physics-Informed Neural Networks,98,Advanced Trajectory Prediction and Planning Methods,"Leverages physics-informed neural networks for trajectory prediction, applicable in systems requiring accurate modeling of physical processes.",N,wrong_mapping,"Trajectory prediction does not necessarily use PINN, it may be mapped to Trajectory Prediction"
22,Hyper-Heuristics,66,Hyper-Heuristic Frameworks for Optimization,"Cluster focuses on high-level methodologies that automate the selection or generation of heuristics, which is a specific approach within optimization techniques.",Y,,Hyper-Heuristics Explicit Match
